@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
'Very Low',UK,M,1,E,AN,N,0,?,2,?,LG,SE,M,3,'Bachelors (4 years)',No,N,40,zero
Low,USA,M,4,E,DBAG,N,1,?,6,?,PB,S,M,200,'Bachelors (4 years)',Yes,N,45,zero
'Very Low',USA,M,7,E,DBAG,N,5,?,1,?,E,S,M,30,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',UK,M,1,E,AN,N,1,?,6,?,E,SE,M,17,'Bachelors (4 years)',Yes,N,38,four
'Very Low',Poland,M,10,E,A,Y,12,?,0,?,PB,C,M,120,Masters,Yes,YesValid,40,zero
Low,Canada,M,4,E,D,N,4,?,4,?,SG,?,M,7,'Bachelors (4 years)',Yes,N,40,zero
Mid,Canada,M,12,E,DBAG,N,1,?,0,?,PB,SE,M,10,'None (no degree completed)',?,N,40,zero
'Very Low',Spain,M,3,E,DT,N,3,?,1,?,PB,S,M,6,'None (no degree completed)',?,YesValid,40,zero
Mid,USA,M,17,E,DA,Y,15,?,0,?,PB,S,M,4,'Bachelors (4 years)',No,N,40,five
Mid,USA,M,10,E,DBAG,Y,10,?,6,?,PB,S,M,1200,'None (no degree completed)',?,N,40,two
High,USA,M,12,E,DBAD,N,3,?,1,?,PB,S,M,26,'Associates (2 years)',No,YesValid,50,zero
'Very High',USA,M,15,E,M,Y,2,?,0,?,PB,S,M,50,'Bachelors (4 years)',Yes,YesValid,45,zero
'Very High',USA,M,10,E,M,Y,13,?,0,?,PB,SE,M,5,'Bachelors (4 years)',No,YesExpired,50,two
Mid,USA,M,3,E,D,N,5,?,0,?,PB,S,M,2,'Bachelors (4 years)',No,N,40,four
Mid,USA,M,13,E,DBAD,Y,3,?,0,?,PB,S,M,12,'Bachelors (4 years)',Yes,N,45,one
'Very Low',USA,M,3,E,AN,N,2,?,2,?,PB,S,M,1,'Associates (2 years)',No,N,40,one
'Very High',USA,P,6,IC,M,Y,7,?,1,?,PB,S,M,6,'None (no degree completed)',?,N,50,five
Low,Canada,M,6,E,D,N,20,?,3,?,SG,S,M,5,'None (no degree completed)',?,N,35,zero
'Very Low',USA,M,2,E,DT,N,2,?,3,?,PB,S,M,4,'Bachelors (4 years)',No,YesExpired,47,one
'Very High',USA,M,20,E,A,Y,4,?,0,?,PB,S,M,8,'None (no degree completed)',?,YesValid,40,two
Mid,USA,M,7,E,DT,N,7,?,6,?,PB,SE,F,5,'Associates (2 years)',Yes,N,45,zero
Mid,USA,M,5,E,AN,N,5,?,0,?,PB,SE,M,4,Masters,No,N,50,two
'Very High',USA,M,20,EC,DBAG,N,5,?,0,?,PB,S,M,100,'Bachelors (4 years)',Yes,N,40,three
High,USA,M,6,EC,DA,N,1,?,1,?,FG,S,F,3,'Bachelors (4 years)',Yes,N,40,two
High,USA,M,3,E,A,N,17,?,0,?,PB,SE,M,2,'Bachelors (4 years)',No,N,40,one
High,USA,M,17,E,DBAP,N,8,?,1,?,PB,?,M,160,'Bachelors (4 years)',Yes,YesValid,45,three
Mid,USA,P,2,E,D,N,4,?,0,?,PB,SR,M,20,'Bachelors (4 years)',No,N,40,one
'Very Low',USA,O,1,E,AN,N,1,?,0,?,SG,S,M,1,'Bachelors (4 years)',No,N,40,one
'Very High',USA,M,6,E,E,N,4,?,1,?,PB,SE,M,3,'Bachelors (4 years)',No,N,36,zero
Low,USA,M,4,EC,DBAD,N,1,?,2,?,PB,?,M,30,'Bachelors (4 years)',No,N,40,zero
Mid,USA,M,12,E,E,N,7,?,0,?,PB,C,M,1,Masters,Yes,YesValid,45,two
Low,USA,M,4,E,DBAG,N,2,?,6,?,PB,?,M,3000,'Bachelors (4 years)',Yes,N,42,one
'Very High',USA,M,14,E,A,N,2,?,0,?,PB,?,M,12,'None (no degree completed)',?,N,45,one
'Very Low',Argentina,M,6,E,DBAP,Y,6,?,6,?,PB,S,M,20000,'Associates (2 years)',Yes,YesValid,50,three
Mid,USA,A,13,E,A,N,4,?,0,?,PB,S,M,2,'Associates (2 years)',Yes,YesExpired,35,zero
Mid,USA,M,2,E,D,N,3,?,1,?,PB,S,M,4,'Bachelors (4 years)',No,N,44,zero
'Very Low',Canada,M,13,E,DBAG,Y,13,?,5,?,LG,?,M,100,'None (no degree completed)',?,YesValid,40,zero
Low,USA,M,3,E,AN,Y,1,?,0,?,NP,S,M,3,'Bachelors (4 years)',No,N,60,one
Mid,USA,M,10,E,DT,N,2,?,3,?,PB,S,F,5,'Bachelors (4 years)',Yes,N,50,one
Mid,USA,M,19,E,DT,N,3,?,2,?,NP,S,M,150,'Associates (2 years)',Yes,YesValid,44,one
High,USA,RDS,1,E,AN,N,1,?,0,?,PB,SE,M,2,Masters,No,YesValid,40,one
'Very High',USA,M,12,E,DBAP,N,12,?,6,?,PB,SE,M,300,'Bachelors (4 years)',Yes,YesValid,45,one
High,USA,M,18,E,A,Y,8,?,0,?,PB,SE,F,40,'Bachelors (4 years)',No,N,65,zero
Low,USA,M,2,E,AN,N,1,?,6,?,PB,SR,M,5,Masters,No,N,40,zero
Mid,USA,M,8,E,D,N,4,?,0,?,PB,SR,F,5,'Bachelors (4 years)',No,N,65,zero
Low,Australia,M,12,E,DT,N,12,?,2,?,PB,S,M,20,'Bachelors (4 years)',Yes,N,40,two
Mid,USA,M,7,E,A,N,1,?,1,?,NP,S,M,24,'Bachelors (4 years)',Yes,N,40,zero
Low,Australia,M,3,EC,DBAP,N,2,?,5,?,FG,S,M,1200,'None (no degree completed)',?,YesValid,40,two
'Very Low',USA,M,4,E,AN,N,2,?,1,?,PB,S,F,1,'Bachelors (4 years)',No,N,35,zero
'Very Low',India,M,8,E,DBAP,N,2,?,6,?,PB,C,M,100,'Bachelors (4 years)',Yes,N,40,five
'Very High',USA,M,18,E,A,Y,5,?,0,?,PB,SR,F,3,'Bachelors (4 years)',No,YesValid,55,two
High,USA,O,3,E,AN,N,3,?,3,?,FG,S,M,4,Masters,No,N,40,one
'Very High',Australia,M,8,IC,DBAG,N,1,?,6,?,FG,SR,M,300,'Associates (2 years)',No,N,40,zero
Mid,USA,M,13,E,DBAD,Y,5,?,0,?,SG,SE,M,2,'None (no degree completed)',?,YesValid,40,zero
Low,USA,O,4,E,AN,N,4,?,6,?,NP,S,M,3,Masters,No,N,40,two
'Very High',USA,M,15,E,DBAG,Y,9,?,0,?,LG,S,M,10,'None (no degree completed)',?,N,36,one
High,USA,?,2,E,AN,N,3,?,2,?,PB,S,M,4,'Bachelors (4 years)',No,N,55,zero
Mid,USA,M,5,E,AN,N,1,?,3,?,NP,SE,M,3,'Bachelors (4 years)',No,YesValid,40,zero
'Very Low',Finland,M,1,E,DBAG,N,1,?,0,?,PB,SE,M,25,'Bachelors (4 years)',No,YesValid,40,one
'Very High',USA,M,18,E,DBAG,N,18,?,0,?,PB,S,M,19,'Bachelors (4 years)',Yes,N,35,two
Mid,USA,M,15,E,DBAG,N,15,?,0,?,PB,?,M,275,'None (no degree completed)',?,YesExpired,50,two
Low,USA,O,5,E,AN,N,1,?,0,?,PB,S,M,2,'Bachelors (4 years)',No,YesExpired,40,five
High,Finland,M,11,E,DA,N,10,?,5,?,PB,S,M,2,'None (no degree completed)',?,N,40,one
'Very High',USA,M,19,E,DBAG,N,13,?,3,?,PB,S,M,90,Masters,No,YesValid,55,one
Mid,Sweden,M,11,EC,A,N,11,?,2,?,PB,SR,M,50,'Associates (2 years)',Yes,N,40,zero
'Very Low',Mexico,M,3,EC,DBAG,N,2,?,6,?,PB,?,M,300,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,South-Africa,M,10,EC,A,Y,2,?,0,?,PB,SE,M,15,'Bachelors (4 years)',Yes,YesValid,45,zero
'Very High',USA,M,20,E,DBAG,N,20,?,0,?,PB,S,M,2000,'None (no degree completed)',?,YesValid,40,zero
Mid,USA,M,6,E,D,N,7,?,0,?,NP,?,M,1,'Bachelors (4 years)',No,N,46,zero
Mid,Israel,M,8,E,DBAG,N,8,?,5,?,PB,S,M,100,'None (no degree completed)',?,YesExpired,50,five
High,USA,M,7,E,M,Y,5,?,0,?,PB,S,M,1,'None (no degree completed)',?,N,40,zero
Low,USA,M,5,E,?,N,3,?,6,?,PB,S,F,50,'Associates (2 years)',Yes,N,45,two
'Very High',USA,M,8,E,DBAG,N,1,?,1,?,PB,S,M,60,Masters,Yes,YesExpired,40,five
'Very Low',Slovakia,M,5,E,DT,N,2,?,1,?,PB,SE,M,5,Masters,No,N,46,zero
Low,USA,M,2,E,AN,Y,5,?,0,?,PB,S,M,1,'Associates (2 years)',No,N,40,zero
'Very Low',USA,M,1,E,AN,N,1,?,0,?,NP,SE,M,2,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',UK,M,8,E,AN,N,1,?,6,?,LG,S,M,6,'None (no degree completed)',Yes,YesValid,37,one
'Very Low',Sweden,M,2,EC,D,N,2,?,6,?,PB,S,M,5,Masters,?,N,40,zero
High,USA,M,10,E,M,Y,8,?,0,?,PB,S,M,2,'Bachelors (4 years)',No,N,45,three
'Very Low',Romania,M,2,E,DBAP,N,2,?,2,?,PB,S,M,100,'None (no degree completed)',?,N,40,one
'Very Low',Poland,M,11,EC,D,N,2,?,1,?,PB,S,M,1,Masters,Yes,YesValid,40,one
'Very Low',Netherlands,M,6,E,D,N,1,?,1,?,PB,C,M,12,'None (no degree completed)',?,YesValid,40,zero
'Very Low',Spain,M,7,E,DA,N,7,?,0,?,PB,SE,F,7,Masters,No,N,45,zero
Mid,UK,O,11,IC,DBAG,Y,11,?,0,?,PB,C,M,30,'Bachelors (4 years)',Yes,N,35,five
'Very Low',Pakistan,M,7,E,DBAD,Y,3,?,3,?,PB,SE,M,8,Masters,Yes,N,40,zero
Mid,USA,M,6,E,DT,N,6,?,1,?,PB,SE,M,8,'Bachelors (4 years)',Yes,N,40,five
'Very Low',Romania,O,6,E,DBAD,N,2,?,2,?,PB,S,M,50,Masters,Yes,N,40,zero
Low,Australia,M,2,P,DA,N,2,?,0,?,PB,S,M,1,'None (no degree completed)',No,YesExpired,24,zero
'Very Low',Sweden,M,3,EC,DT,N,2,?,1,?,PB,?,M,5,'Bachelors (4 years)',No,YesExpired,40,zero
'Very High',USA,M,20,EC,A,N,4,?,6,?,PB,S,M,500,Masters,No,YesExpired,45,five
Low,USA,M,5,E,DBAP,N,2,?,1,?,PB,S,F,100,Masters,Yes,YesValid,50,one
'Very Low',Belgium,P,2,EC,DA,N,2,?,0,?,PB,S,M,8,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,9,E,DA,N,7,?,0,?,PB,S,M,3,'Bachelors (4 years)',Yes,N,50,zero
Mid,USA,M,15,E,AN,N,4,?,4,?,PB,C,M,3,'Bachelors (4 years)',No,N,40,zero
Low,UK,M,7,E,DBAG,N,1,?,0,?,PB,S,M,10,'Associates (2 years)',Yes,N,35,two
Mid,USA,M,8,E,DBAG,Y,4,?,1,?,PB,S,M,8,'Associates (2 years)',Yes,YesValid,45,two
'Very High',USA,M,20,E,DBAD,N,12,?,5,?,PB,SE,F,0,'Bachelors (4 years)',Yes,YesValid,50,five
Mid,USA,M,3,E,D,N,2,?,0,?,PB,SR,M,3,'Bachelors (4 years)',No,N,45,two
Mid,UK,M,10,E,A,N,4,?,3,?,PB,C,M,15,Masters,Yes,N,40,four
'Very Low',UK,?,2,E,?,N,2,?,3,?,NP,S,M,0,'Bachelors (4 years)',Yes,N,38,zero
'Very Low',India,MDB,3,E,DA,N,5,?,1,?,PB,SE,M,10,Masters,Yes,YesExpired,40,zero
High,Israel,M,6,EC,DBAD,Y,2,?,0,?,PB,C,M,100,Masters,Yes,YesValid,55,zero
'Very Low',USA,O,2,E,DA,N,2,?,6,?,PB,S,M,4,'Associates (2 years)',Yes,YesExpired,40,zero
High,Luxembourg,M,12,E,AN,N,12,?,1,?,PB,SR,F,1,'Associates (2 years)',Yes,N,40,zero
'Very Low',UK,M,15,EC,DBAG,N,4,?,1,?,PB,S,M,250,'Associates (2 years)',No,YesValid,40,one
High,USA,M,18,EC,DBAG,Y,5,?,0,?,PB,SE,M,5,'Bachelors (4 years)',No,YesValid,50,two
'Very Low',France,MS,3,EC,A,Y,3,?,2,?,PB,C,M,10,Masters,Yes,YesValid,40,zero
'Very Low',Bulgaria,M,5,E,DBAP,N,5,?,1,?,PB,?,M,50,'Bachelors (4 years)',Yes,YesExpired,50,zero
'Very High',USA,M,15,E,A,Y,4,?,0,?,FG,S,M,70,'Bachelors (4 years)',No,N,55,zero
High,USA,M,22,EC,DBAG,N,1,?,4,?,PB,SR,F,50,Masters,No,YesExpired,50,five
'Very Low',Greece,M,14,E,A,N,2,?,2,?,PB,SE,M,250,'Associates (2 years)',?,YesExpired,40,four
'Very High',USA,M,6,IC,D,N,4,?,0,?,PB,S,M,4,'Bachelors (4 years)',No,N,50,five
'Very Low',Denmark,M,2,EC,DBAP,N,2,?,6,?,S,?,M,200,'None (no degree completed)',?,YesValid,37,zero
Mid,UK,M,20,EC,A,N,3,?,0,?,PB,SR,M,1000,'None (no degree completed)',?,YesValid,50,two
'Very Low',Brazil,SQLI,1,IC,DA,N,1,?,2,?,PB,C,M,3,'Bachelors (4 years)',Yes,N,30,two
Mid,USA,M,4,E,DBAG,Y,1,?,0,?,FG,SR,F,12,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,Canada,M,10,E,A,N,2,?,0,?,PB,S,M,200,'Associates (2 years)',Yes,YesExpired,50,three
'Very Low',Brazil,SQLI,1,IC,DA,N,1,?,2,?,PB,C,M,3,'Bachelors (4 years)',Yes,N,30,two
High,USA,M,10,E,DBAP,N,22,?,1,?,PB,S,M,156,'None (no degree completed)',?,N,42,two
'Very High',USA,M,20,E,DBAP,N,15,?,3,?,PB,S,M,100,Masters,No,YesExpired,50,one
Mid,USA,M,5,E,D,N,5,?,6,?,PB,S,M,5,'Bachelors (4 years)',Yes,N,50,one
High,USA,M,15,E,D,Y,5,?,0,?,PB,S,F,20,'Bachelors (4 years)',No,N,45,one
Mid,USA,M,6,E,?,N,1,?,3,?,PB,S,F,4,'Bachelors (4 years)',No,YesValid,40,five
'Very High',USA,M,7,E,E,Y,4,?,3,?,PB,SE,M,50,'Bachelors (4 years)',Yes,N,45,one
'Very Low',Romania,O,6,E,DBAG,N,2,?,2,?,PB,S,M,50,Masters,Yes,N,40,zero
Low,Spain,O,20,EC,A,N,18,?,0,?,PB,S,M,12,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very Low',India,M,14,E,DBAD,Y,7,?,3,?,LG,S,M,16,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very Low',Argentina,M,11,E,AN,N,11,?,1,?,PB,S,M,1,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Serbia-and-Montenegro,O,17,E,DBAG,N,0,?,6,?,FG,C,M,40,Masters,No,N,50,two
'Very Low',Jamaica,O,7,E,DBAG,Y,3,?,1,?,PB,C,F,40,Masters,Yes,N,40,zero
'Very High',USA,SQLI,10,E,DA,Y,10,?,0,?,NP,S,M,20,'Bachelors (4 years)',Yes,N,60,zero
'Very High',Switzerland,O,27,E,E,N,5,?,0,?,FG,SE,M,200,Masters,Yes,YesExpired,40,zero
'Very High',USA,M,17,E,DBAP,N,12,?,4,?,PB,S,M,1000,'Bachelors (4 years)',Yes,YesExpired,45,two
High,USA,O,9,E,DBAD,N,9,?,1,?,PB,S,M,20,'Bachelors (4 years)',No,N,38,zero
Low,USA,M,3,E,DA,N,3,?,4,?,PB,S,M,3,'Bachelors (4 years)',No,N,40,two
Low,USA,M,5,E,DBAP,N,4,?,1,?,NP,S,M,60,'Bachelors (4 years)',Yes,YesValid,40,one
'Very High',USA,M,15,IC,DBAG,N,10,?,1,?,PB,S,M,10,'Bachelors (4 years)',Yes,N,30,four
Low,UK,O,4,E,DBAD,N,4,?,4,?,PB,SR,M,3,Masters,No,N,40,zero
'Very Low',USA,M,6,E,DBAG,N,3,?,2,?,E,S,M,100,'Bachelors (4 years)',No,N,40,one
Low,USA,M,3,E,DBAP,N,3,?,2,?,PB,S,NB,56,'Associates (2 years)',No,YesExpired,45,zero
'Very Low',Ukraine,?,2,E,D,N,2,?,2,?,PB,S,M,0,Masters,Yes,N,40,two
Mid,USA,M,15,E,M,Y,10,?,0,?,PB,?,M,15,'Associates (2 years)',?,YesExpired,55,two
'Very High',USA,M,25,E,DBAG,N,2,?,0,?,PB,S,M,25,'None (no degree completed)',?,YesExpired,48,two
Low,Sweden,M,20,EC,DBAG,N,11,?,0,?,PB,SE,M,200,'None (no degree completed)',?,YesValid,45,three
Mid,USA,O,4,E,DBAG,N,4,?,6,?,PB,S,M,40,'Bachelors (4 years)',No,YesExpired,40,one
Mid,USA,O,1,E,A,N,5,?,3,?,PB,SE,M,10,'Bachelors (4 years)',Yes,YesExpired,40,one
Mid,USA,M,22,E,DBAG,Y,2,?,2,?,PB,S,M,300,'Bachelors (4 years)',No,N,50,zero
'Very Low',Brazil,M,7,E,DBAG,N,7,?,2,?,PB,SR,M,30,'Associates (2 years)',Yes,YesValid,44,zero
'Very Low',Belgium,M,5,IC,DBAD,Y,2,?,6,?,PB,SR,M,300,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very High',USA,M,25,E,DBAP,N,5,?,1,?,PB,S,M,20000,'Bachelors (4 years)',No,YesExpired,45,five
'Very Low',Malta,M,5,E,DBAG,N,1,?,0,?,PB,SR,M,4,'None (no degree completed)',Yes,YesValid,39,zero
Low,UK,M,5,E,DBAP,N,25,?,1,?,PB,SR,M,100,'Bachelors (4 years)',Yes,N,38,one
'Very High',USA,O,18,E,DBAG,N,4,?,1,?,PB,SR,F,45,'Bachelors (4 years)',No,YesValid,45,five
High,USA,M,15,E,DT,Y,15,?,3,?,PB,S,M,12,'None (no degree completed)',?,N,40,one
'Very Low',UK,M,2,E,DT,N,2,?,0,?,PB,C,M,2,'None (no degree completed)',No,N,40,zero
'Very High',USA,M,27,EC,A,N,10,?,0,?,PB,SE,M,100,'Bachelors (4 years)',No,YesExpired,50,five
'Very High',USA,M,20,E,M,Y,5,?,0,?,PB,S,M,20,Masters,No,YesExpired,40,five
High,USA,M,6,E,DBAD,N,2,?,3,?,PB,S,M,120,'None (no degree completed)',?,YesValid,45,zero
'Very High',USA,M,15,E,DBAD,N,4,?,6,?,PB,S,M,30,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',UK,M,7,E,D,N,7,?,2,?,PB,S,M,1,'Bachelors (4 years)',?,YesExpired,37,zero
High,USA,M,6,E,DBAD,Y,1,?,5,?,PB,S,M,200,'Bachelors (4 years)',Yes,YesValid,40,one
High,USA,T,4,E,AN,N,2,?,2,?,PB,SE,M,5,'Bachelors (4 years)',No,N,40,zero
Low,USA,M,3,E,DBAD,Y,4,?,0,?,PB,S,F,1,'Bachelors (4 years)',No,N,40,zero
'Very High',USA,M,3,E,D,N,5,?,6,?,PB,S,M,10,'Bachelors (4 years)',No,N,50,one
'Very Low',UK,M,3,E,DBAG,N,1,?,0,?,PB,?,M,5,'Bachelors (4 years)',?,N,37,zero
'Very High',USA,M,7,E,DBAG,N,3,?,6,?,PB,SE,M,400,'Bachelors (4 years)',No,YesValid,50,three
High,USA,M,20,E,E,N,20,?,1,?,PB,S,M,2100,'Associates (2 years)',Yes,N,42,two
High,USA,M,15,E,D,N,7,?,6,?,PB,SE,M,100,'None (no degree completed)',?,N,45,zero
Mid,USA,O,21,E,DBAG,N,15,?,1,?,PB,S,M,35,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,4,E,DBAG,Y,1,?,2,?,PB,S,M,15,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,18,E,DBAG,N,4,?,5,?,PB,S,F,250,'Associates (2 years)',Yes,YesValid,50,two
Low,UK,M,10,E,DBAG,N,2,?,0,?,PB,S,?,1600,'Bachelors (4 years)',Yes,YesValid,40,one
'Very Low',Brazil,M,5,E,DBAG,N,3,?,6,?,PB,SE,M,200,'Bachelors (4 years)',No,YesExpired,50,one
'Very Low',Hungary,M,16,E,DBAP,N,5,?,4,?,PB,S,M,120,'Bachelors (4 years)',Yes,YesValid,46,zero
'Very High',USA,M,17,EC,A,Y,2,?,0,?,FG,S,F,15,'Bachelors (4 years)',Yes,N,45,four
Mid,USA,M,10,E,DBAG,N,10,?,0,?,SG,SR,M,400,'None (no degree completed)',?,YesExpired,50,three
Mid,USA,M,6,E,AN,N,5,?,0,?,PB,?,F,5,Masters,Yes,N,42,zero
'Very Low',USA,A,1,E,DT,N,2,?,1,?,PB,S,M,3,'Bachelors (4 years)',Yes,N,37,zero
Mid,USA,M,7,E,AN,N,1,?,6,?,PB,SE,F,0,'Bachelors (4 years)',Yes,N,35,two
'Very High',USA,M,12,E,DBAG,N,3,?,1,?,PB,C,M,10,'Associates (2 years)',?,YesValid,55,five
'Very High',USA,M,21,IC,D,Y,12,?,3,?,PB,S,M,12,'Associates (2 years)',No,YesValid,55,four
Mid,USA,P,2,E,DA,N,8,?,5,?,PB,SE,M,4,'Bachelors (4 years)',Yes,N,45,zero
Low,USA,M,2,E,DBAG,N,2,?,1,?,LG,S,M,7,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very Low',Greece,M,13,E,M,Y,4,?,0,?,PB,?,M,400,Masters,Yes,N,48,zero
Mid,USA,M,20,E,E,N,2,?,1,?,PB,S,M,5,'None (no degree completed)',?,N,50,zero
'Very Low',Canada,M,10,E,DT,N,10,?,1,?,PB,S,M,2,'Bachelors (4 years)',Yes,N,40,three
Mid,USA,M,6,E,D,N,1,?,1,?,PB,S,M,16,'Bachelors (4 years)',No,N,40,zero
'Very High',USA,M,8,E,DBAG,N,6,?,0,?,PB,S,M,25,'None (no degree completed)',?,N,40,one
'Very High',USA,M,20,E,DBAG,N,1,?,4,?,PB,C,M,75,'None (no degree completed)',No,N,50,one
'Very High',USA,M,15,E,DBAD,N,4,?,1,?,PB,S,M,50,'Bachelors (4 years)',No,YesValid,50,one
Mid,USA,M,7,E,DT,N,7,?,6,?,PB,SE,F,4,Masters,Yes,YesValid,40,one
Low,USA,M,15,E,DBAP,N,25,?,2,?,E,S,M,75,'Bachelors (4 years)',Yes,YesExpired,45,zero
Mid,USA,M,8,EC,A,N,3,?,1,?,E,C,M,16,'None (no degree completed)',?,YesValid,40,zero
Mid,USA,M,15,E,DBAG,N,15,?,0,?,PB,S,F,63,'Bachelors (4 years)',Yes,YesExpired,50,five
'Very Low',UK,M,3,E,DT,N,2,?,1,?,PB,C,F,10,'Bachelors (4 years)',?,N,45,zero
Mid,USA,M,9,EC,DA,N,9,?,2,?,PB,S,M,3,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,USA,M,3,E,DBAG,N,1,?,6,?,PB,S,F,35,Masters,Yes,N,45,one
High,USA,M,12,E,DBAP,N,12,?,3,?,PB,S,F,221,Masters,No,N,40,zero
'Very High',USA,M,10,E,DT,N,1,?,6,?,PB,S,M,70,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,12,E,DT,N,1,?,0,?,PB,S,M,35,'Bachelors (4 years)',No,YesExpired,45,zero
Mid,USA,M,0,E,D,N,0,?,3,?,PB,S,M,3,'Bachelors (4 years)',No,YesValid,45,zero
Mid,USA,M,8,E,DT,N,1,?,4,?,PB,S,M,13,'Bachelors (4 years)',No,YesExpired,42,zero
Low,CzechRepublic,O,20,IC,D,N,20,?,2,?,PB,S,M,6,'None (no degree completed)',?,YesValid,45,zero
'Very High',USA,M,9,E,A,N,7,?,6,?,PB,C,M,450,Masters,Yes,YesExpired,40,two
High,UK,M,20,IC,DBAG,N,12,?,0,?,PB,SE,M,50,'Bachelors (4 years)',Yes,YesValid,38,five
'Very Low',Brazil,O,4,E,DBAP,N,4,?,6,?,PB,S,M,50,'Associates (2 years)',Yes,YesValid,45,two
Low,USA,M,4,E,DT,N,2,?,0,?,PB,SE,M,10,'Bachelors (4 years)',Yes,YesValid,55,one
'Very High',USA,M,13,E,A,N,4,?,1,?,PB,S,M,8,'Associates (2 years)',Yes,N,50,zero
'Very High',USA,M,17,E,DA,Y,32,?,0,?,PB,S,M,10,'None (no degree completed)',?,YesExpired,40,five
Low,USA,M,15,E,DBAP,N,15,?,1,?,PB,?,?,400,'Bachelors (4 years)',Yes,YesExpired,45,one
Low,Sweden,M,19,E,DBAD,N,19,?,0,?,PB,SR,M,20,'Associates (2 years)',Yes,N,40,one
Mid,Canada,M,20,IC,DBAP,N,10,?,4,?,PB,SE,M,60,'Bachelors (4 years)',Yes,YesExpired,40,one
Mid,USA,M,6,E,DBAD,N,10,?,0,?,PB,SR,M,4,'Associates (2 years)',Yes,YesValid,42,one
High,USA,M,4,E,DBAP,N,5,?,1,?,NP,?,M,68,'None (no degree completed)',?,YesExpired,45,one
Low,UK,O,5,E,DBAD,N,0,?,2,?,PB,S,M,15,'Bachelors (4 years)',Yes,YesValid,40,one
Mid,Australia,M,8,E,E,Y,2,?,0,?,PB,?,M,500,'None (no degree completed)',?,YesValid,52,five
Mid,USA,M,10,E,DBAG,N,3,?,1,?,PB,SE,?,3000,'Bachelors (4 years)',Yes,YesExpired,50,zero
Mid,USA,M,7,E,DBAD,Y,3,?,3,?,PB,SR,F,30,'Bachelors (4 years)',No,N,65,one
'Very High',USA,M,10,IC,A,N,10,?,0,?,PB,S,M,50,Masters,Yes,YesValid,50,five
'Very Low',UK,M,2,E,DA,N,2,?,2,?,PB,S,M,10,'Bachelors (4 years)',No,N,39,zero
Mid,USA,M,8,E,DBAP,N,7,?,5,?,PB,S,M,150,'Bachelors (4 years)',No,YesValid,40,three
